title	pubyear	cen	auth	auth_gen	dedication	Author last name	Author first name	Name as it appears	Author ID	Birth year	Generation	Year of Death	No. of books in the dataset	City of birth	State	Birth country	Level contribution
The Quest of the Silver Fleece	1911.0	20th century	W. E. B DuBois	Man	"

To One 
whose name may not be written but to whose tireless 
faith the shaping of these cruder thoughts to forms 
more fitly perfect is doubtless due, this 
finished work is herewith dedicated"												
Cane	1923.0	20th century	Jean Toomer	Man	To my grandmother . . .												
The Walls of Jericho 	1928.0	20th century	Rudolph Fisher	Man	"For Glendora —
May her laugh be silver, 
like her hair"												
Home to Harlem	1928.0	20th century	Claude McKay	Man	"      TO MY FRIEND FRIEND
LOUISE BRYANT"												
Black No More 	1931.0	20th century	George Schuyler 	Man	"This book is dedicated 
to all Caucasians in the great republic
 who can trace their ancestry
back ten generations 
and confidently assert that there are no 
Black leaves, twigs, limbs or branches on 
their family trees."												
Jonah’s Gourd Vine	1934.0	20th century	Zora Neale Hurston	Woman	"To Bob Wunsch 
Who is one of the long-wingded angels
Right round the throne
Go gator and muddy the water"												
Native Son	1940.0	20th century	Richard Wright 	Man	"To 
My Mother
who, when I was a child at her knee, taught 
me to revere the fanciful and the imaginative."												
The Street	1946.0	20th century	Ann Petry	Woman	"TO MY MOTHER 
Bertha James Lane"												
Invisible Man	1952.0	20th century	Ralph Ellison	Man	To Ida												
Go Tell It on The Mountain 	1953.0	20th century	James Baldwin	Man	For my Mother and Father												
Maud Martha	1953.0	20th century	Gwendolyn Brooks	Woman	"To my family, 
Henry, Henry, and Nora"												
The Outsider	1953.0	20th century	Richard Wright 	Man	"To Rachel 
my daughter who was born on foreign soil"												
Savage Holiday	1954.0	20th century	Richard Wright 	Man	"Dedication
 to 
CLINTON BREWER"												
Giovanni’s Room	1956.0	20th century	James Baldwin	Man	"FOR LUCIEN
I am the man, I suffered, I was there. 
—Whitman"												
The Long Dream	1958.0	20th century	Richard Wright 	Man	"To my friends
Edward C. Aswell and Paul R. Reynolds 
whose aid and counsel made 
this book possible"												
Brown Girl, Brownstones 	1959.0	20th century	Paule Marshall	Woman	To My Mother												
A Different Drummer	1962.0	20th century	William Melvin Kelley	Man	"To my mother, Narcissa, 1906-1957, who, in the quietly coura-
geous way that she went about everything, challenged death so I could be born, and won.
  To my father, William Melvin, Senior, 1894-1958, who, when I was too young to realize it, sacrificed so much for me
that it is improable he was ever again truly happy. 
  to MSL, who, when I needed it most, gave me enough love
and kindness and encouragement to start me writing seriously."												
And Then We Heard the Thunder	1963.0	20th century	John Oliver Killens	Man	"TO MY MOTHER
AND TO
HARRIET TUBMAN, who stands head
and shoulders above most Americans 
in my private Hall of Fame, 
and to 
MY  BUDDIES, fallen and standing, 
and to 
CHUCK AND BARBARA and to all 
young people everywhere.
May they never heard the man-made thunder, 
nor see the terrible lightning"												
Jubilee	1966.0	20th century	Margaret Walker	Woman	" 
This book is dedicated to all the members of
 my family with all my love. It is especially for
 my mother, my husband, my sisters, and brother
 because they helped to make it possible. It is for
 my four children that they may know something
 of their heritage. And it is to the memory of 
my grandmothers: my maternal great-
grandmother, Margaret Duggans Ware Brown, whose
 story this is; my maternal grandmother, Elvira
 Ware Dozier, who told me this story; and
 my paternal grandmother, Margaret Walker."												
Dem	1967.0	20th century	William Melvin Kelley	Man	This book is dedicated to the black people in (not of) America.												
The Bluest Eye	1970.0	20th century	Toni Morrison	Woman	"To the two who gave me life
and the one who made me free"												
The Third Life of Grange Copeland	1970.0	20th century	Alice Walker	Woman	"For my mother, 
who made a way out of no way 

And for Mel, my husband"												
Cotillion, Or, One Good Bull is Half the Herd	1971.0	20th century	John Oliver Killens	Man	"For my brothers Charles and Richard and my sister 
Charlie Mae--and all my Brothers and Sisters the 
world over; and a special appreciation to the Har-
lem Writers Guild."												
The Autobiography of Miss Jane Pittman	1971.0	20th century	Ernest J. Gaines	Man	" 
This book is dedicated
to the memory of 
My grandmother, Mrs. Julia McVay
My Stepfather, Mr. Ralph Norbert Colar, Sr.
and
to the memory of
My beloved aunt Miss Augusteen Jefferson,
who did not walk a day in her life
but who taught me the importance of standing."												
Sula 	1973.0	20th century	Toni Morrison	Woman	"It is sheer good fortune to miss 
somebody long before they leave you. 
This book is for Ford and Slade, whom 
I miss although they have not left me."												
Corregidora	1975.0	20th century	Gayl Jones	Woman	To my parents												
Eva's Man	1976.0	20th century	Gayl Jones	Woman	"for 
MICHAEL S. HARPER"												
Roots: The Saga of an American Family	1976.0	20th century	Alex Haley	Man	"It wasn't planned 
that Roots' researching and writing
 finally would take twelve years. 
Just by chance it is being published
 in the Bicentennial Year of the United States.
So I dedicate Roots as a birthday offering to my country 
within which most of Roots happened."												
Song of Solomon	1977.0	20th century	Toni Morrison	Woman	Daddy												
Kindred	1979.0	20th century	Octavia Butler	Woman	"To Victoria Rose,
friend and goad"												
Tar Baby	1981.0	20th century	Toni Morrison	Woman	"For
Mrs. Caroline Smith
Mrs. Millie McTeer 
Mrs. Ardelia Willis  
Mrs. Ramah Wofford 
Mrs. Lois Brooks 
— and each of their sisters, 
all of whom knew 
their true and ancient 
properties"												
The Color Purple 	1982.0	20th century	Alice Walker	Woman	"To the Spirit: 
Without whose assistance
Neither this book  
Nor I
Would have been 
Written."												
Oxherding Tale	1982.0	20th century	Charles Johnson	Man	"To the memory 
of 
Ruth Elizabeth Johnson"												
Beloved 	1987.0	20th century	Toni Morrison	Woman	"Sixty Million 
and more"												
Dawn	1987.0	20th century	Octavia Butler	Woman	"In memory of Mike Hodel who, through his READ/SF campaign
for literacy, sought to share with everyone 
the pleasure and usefulness 
of the written word."												
Mama	1987.0	20th century	Terry McMillan	Woman	"For my own Mama, 
MADELINE TILLMAN, 
whose love and support 
made everything possible"												
Mama Day	1988.0	20th century	Gloria Naylor	Woman	For Corlies Morgan Smith												
Middle Passage	1990.0	20th century	Charles Johnson	Man	"To Joan
for the last twenty-two years"												
Devil in a Blue Dress	1990.0	20th century	Walter Mosley	Man	"For Joy Kellman, Frederick Tuten, 
and Leroy Mosley"												
The Famished Road	1991.0	20th century	Ben Okri	Man	"To Grace Okri, my mother and friend; 
and to Rosemary Clunie"												
Invisible Life	1991.0	20th century	E. Lynn Harris	Man	"For 
Randy L. Johnson and Richard S. Coleman 

and Five Ladies Who Make a Difference Daily 
                          My mother, Etta W. Harris 
                        My grandma, Bessie Harvey 
                          My aunt, Jessie L. Phillips 
                       My friend, Lencola Sullivan 
                  My inspiration, Dellanor Young"												
White Butterfly	1992.0	20th century	Walter Mosley	Man	"For the stories he keeps on telling, 
I dedicate this book to Leroy Mosley."												
Breath, Eyes, Memory	1994.0	20th century	Edwidge Danticat	Woman	"To the brave women of Haiti,
grandmothers, mothers, aunts,
sisters, cousins, daughters, and friends,
on this shore and other shores.
We have stumbled but we will not fall."												
Just As I Am	1994.0	20th century	E. Lynn Harris	Man	"For
Jules and those who fight the battle against AIDS 
                                          each and every day
                                                                and 
                                                  The Huntleys 
                             Tracey, David, and Calhoun 
                                  for a friendship supreme"												
Black Betty	1994.0	20th century	Walter Mosley	Man	"This book is dedicated to my father, 
who died on New Year's Day, 1993. 

I miss you, Dad."												
The Wedding	1995.0	20th century	Dorothy West	Woman	"To the memory of my editor, 
Jacqueline Kennedy Onassis. Though 
there was never such a mismatched 
pair in appearance, we were 
perfect partners."												
RL's Dream	1995.0	20th century	Walter Mosley	Man	For Leroy Mosley (1916-1993)												
The White Boy Shuffle	1996.0	20th century	Paul Beatty	Man	"For Yvonne Beatty, 
my mother"												
The Autobiography of My Mother	1996.0	20th century	Jamaica Kincaid	Woman	For Derek Walcott												
Paradise 	1997.0	20th century	Toni Morrison	Woman	Lois												
Gone Fishin'	1997.0	20th century	Walter Mosley	Man	"For My Mother 
Ella"												
Brown Girl in the Ring	1998.0	20th century	Nalo Hopkinson	Woman	"Dedicated to my father, Slade Hopkinson. Daddy, 
thanks for passing on the tools of the trade to me."												
Parable of the Talents	1998.0	20th century	Octavia Butler	Woman	"To my aunts 
Irma Harris and 
Hazel Ruth Walker,  
and in memory of my mother 
Octavia Margaret Butler"												
The Intuitionist	1999.0	20th century	Colson Whitehead	Man	for my parents												
Tuff	2000.0	21st century	Paul Beatty	Man	"To paraphrase the immortal Biggie Smalls — 
This book is dedicated to all my niggers in the struggle, both literary and 
real: Nigger Jim, Queequeg, Dilsey, Candide, Uncle Tom, Teacake, Dan
“Spook” Freeman, Stagolee; Al and Ronald, Jerry, Charlie and Billy, 
T. Morrow, DCP, D.W., Lawson, and Toi Russell."												
White Teeth	2000.0	21st century	Zadie Smith	Woman	"To my mother and my father
And for Jimmi Rahman"												
John Henry Days	2001.0	21st century	Colson Whitehead	Man	To N. S.												
The Dying Ground: A Maceo Redfield Novel	2001.0	21st century	Nichelle D. Tramble	Woman	"To Daddy and Blaik, 
angels I knew for a while, 
and 
Judy Faye Tramble, 
my angel here on earth"												
Fearless Jones	2001.0	21st century	Walter Mosley	Man	"Dedicated to Clyde Taylor 
and Manthia Diawara"												
Leaving Atlanta 	2002.0	21st century	Tayari Jones	Woman	"Twenty-nine 
and more"												
The Known World	2003.0	21st century	Edward P. Jones	Man	"TO MY BROTHER
   JOSEPH V. JONES 

and, again,

To THE MEMORY OF OUR MOTHER, 
   JEANETTE S. M. JONES 
who could have done much more in a better world."												
Purple Hibiscus	2003.0	21st century	Chimamanda Ngozi Adichie	Woman	"For 
Professor James Nwoye Adichie 
and 
Mrs. Grace Ifeoma Adichie, 
my parents, my heroes, ndi o ga-adili mma."												
Half of a Yellow Sun	2006.0	21st century	Chimamanda Ngozi Adichie	Woman	"My grandfathers, whom I never knew, 
Nwoye David Adichie and Aro-Nweke Felix Odigwe, 
did not survive the war. 
My grandmothers, Nwabuodu Regina Odigwe and 
Nwamgbafor Agnes Adiche, remarkable women 
both, did. 
This book is dedicated to their memories: 
ka fa nodu na ndokwa. 
And to Mellitus, wherever he may be."												
Apex Hides the Hurt	2007.0	21st century	Colson Whitehead	Man	For Nicole Aragi												
A Mercy 	2008.0	21st century	Toni Morrison	Woman	"To R.G. 
For decades of wit, insight and intellect. 
Thank you"												
Slumberland 	2008.0	21st century	Paul Beatty	Man	"For Yvonne Beatty, 
my mother"												
Where the Line Bleeds	2008.0	21st century	Jesmyn Ward	Woman	"For Joshua Adam Dedeaux, 
who leads while I follow."												
Sag Harbor	2009.0	21st century	Colson Whitehead	Man	For Maddie												
Black Water Rising	2009.0	21st century	Attica Locke	Woman	FOR MY GRANDFATHER												
Big Machine	2009.0	21st century	Victor LaValle	Man	"FOR OAKLAND, 
CITY FULL OF GOOD"												
Salvage the Bones 	2011.0	21st century	Jesmyn Ward	Woman	"For my brother, Joshua Adam Dedeaux, 
who leads while I follow"												
Zone One	2011.0	21st century	Colson Whitehead	Man	To Bill Thomas												
Silver Sparrow	2011.0	21st century	Tayari Jones	Woman	"For my parents, 
Barbara and Mack Jones, 
who, to the best of my knowledge, 
are married only to each other"												
The Twelve Tribes of Hattie 	2012.0	21st century	Ayana Mathis	Woman	"For my mother, 
and for Grandmom 
and Grandpop"												
The Devil in Silver	2012.0	21st century	Victor LaValle	Man	"For Gloria Loomis, 
who I love like family"												
Americanah	2013.0	21st century	Chimamanda Ngozi Adichie	Woman	"This book is for our next generation, ndi na-abia n' iru: 
Toks, Chisom, Amaka, Chinedum, Kamsiyonna, and Arinze. 

For my wonderful father in this, his eightieth year. 
And, as always, for Ivara."												
A Brief History of Seven Killings	2014.0	21st century	Marlon James	Man	"To Maurice James 
An extraordinary gentleman in a league of his own."												
God Help the Child	2015.0	21st century	Toni Morrison	Woman	For You												
The Sellout	2015.0	21st century	Paul Beatty	Man	For Althea Amrik Wasow												
The Fifth Season	2015.0	21st century	N. K. Jemisin	Woman	"For all those who have to fight for the respect that everyone else is 
given without question"												
The Underground Railroad	2016.0	21st century	Colson Whitehead	Man	"For
Julie"												
Homegoing	2016.0	21st century	Yaa Gyasi	Woman	For my parents and for my brothers												
The Ballad of Black Tom	2016.0	21st century	Victor LaValle	Man	For H. P. Lovecraft, with all my conflicted feelings												
The Obelisk Gate 	2016.0	21st century	N. K. Jemisin	Woman	"To those who have no choice but to prepare their children for
the battlefield"												
Swing Time	2016.0	21st century	Zadie Smith	Woman	For my mother, Yvonne												
The Mothers	2016.0	21st century	Brit Bennett	Woman	For Mom, Dad, Brianna, and Jynna												
Sing, Unburied, Sing	2017.0	21st century	Jesmyn Ward	Woman	"          For my mother, Norine Elizabeth Dedeaux, 
          who loved me before I took my first breath. 
          Every second of my life, she shows me so."												
The Hate U Give	2017.0	21st century	Angie Thomas	Woman	"For Grandma, who showed me 
there can be light in the darkness"												
Bluebird, Bluebird	2017.0	21st century	Attica Locke	Woman	"To the 
Hathorne 
Jackson 
Johnson 
Jones 
Locke 
Mark 
McClendon 
McGowan 
Perry 
Sweats 
Williams 
men and women who said no"												
The Stone Sky	2017.0	21st century	N. K. Jemisin	Woman	"To those who've surived: Breathe. That's it. Once more. Good. 
You're good. Even if you're not, you're alive. That is a victory."												
Children of Blood and Bone	2018.0	21st century	Tomi Adeyemi	Woman	"To Mom and Dad—
who sacrificed everything to give me this chance"												
An American Marriage 	2018.0	21st century	Tayari Jones	Woman	"For my mother's sister, Alma Faye, 
and for Maxine & Marcia, my own"												
American Spy	2019.0	21st century	Lauren Wilkinson	Woman	For my mother, Linda Perry												
The Nickel Boys	2019.0	21st century	Colson Whitehead	Man	For Richard Nash												
The Vanishing Half	2020.0	21st century	Brit Bennett	Woman	For my family—present and past												
Harlem Shuffle 	2021.0	21st century	Colson Whitehead	Man	for Beckett												
The Other Black Girl	2021.0	21st century	Zakiya Dalila Harris	Woman	For my family—present and past												
The Prophets	2021.0	21st century	Robert Jones, Jr.	Man	"For my grandmothers Corrine and Ruby, 
my grandfathers Alfred and George,  
my great-uncles Milton, Charles, Cephas, and Herbert, 
my father Robert, my cousins Trebor, Tracey, and 
Daishawn, my godparents Delores Marie and 
Daniel Lee, Mother Morrison and Father Baldwin, 
and all of my elders and relatives who have passed on 
over, who are now with the ancestors, who are now, 
themselves, ancestors, guiding and protecting me, 
whispering to me so that I, too, 
might share the testimony. "												
How Beautiful We Were	2021.0	21st century	Imbolo Mbue	Woman	For my beautiful, beautiful children												
Yonder	2022.0	21st century	Jabari Asim	Man	"To my parents, for showing me
the possibilities of love. 

To Liana, who embodies them."												
				Woman		Morrison	Toni	Toni Morrison	1.0	1931.0		2019.0	11.0	Lorain	Ohio	USA	Adult fiction
				Man		Wright	Richard 	Richard Wright 	2.0	1908.0		1960.0	7.0	Roxie	Mississippi	USA	Adult fiction
				Man		Whitehead	Colson	Colson Whitehead	3.0	1969.0			9.0	New York City	New York	USA	Adult fiction
				Woman		Hurston	Zora Neale	Zora Neale Hurston	4.0	1891.0		1960.0	4.0	Notasulga	Alabama	USA	Adult fiction
				Man		Ellison	Ralph	Ralph Ellison	5.0	1963.0		2020.0	2.0	Oklahoma City	Oklahoma	USA	Adult fiction
				Woman		Walker	Alice	Alice Walker	6.0	1944.0			7.0	Eatonton	Georgia	USA	Adult fiction
				Man		Baldwin	James	James Baldwin	7.0	1924.0		1987.0	5.0	Harlem	New York	USA	Adult fiction
				Woman		Butler	Octavia 	Octavia Butler	8.0	1947.0		2006.0	12.0	Pasadena	California	USA	Adult fiction
				Man		Beatty	Paul	Paul Beatty	9.0	1962.0			4.0	Los Angeles	California	USA	Adult fiction
				Woman		Naylor 	Gloria	Gloria Naylor	10.0	1950.0		2016.0	5.0	New York City	New York	USA	Adult fiction
				Woman		Jones	Gayl	Gayl Jones	11.0	1949.0			2.0	Lexington	Kentucky	USA	Adult fiction
				Woman		Ward	Jesmyn 	Jesmyn Ward	12.0	1977.0			3.0	De Lisle	Mississippi	USA	Adult fiction
				Man		Reed	Ishmael	Ishmael Reed	13.0	1938.0			7.0	Chattanooga	Tennessee	USA	Adult fiction
				Man		Mosley	Walter	Walter Mosley	14.0	1952.0			37.0	Los Angeles	California	USA	Adult fiction and Young adult
				Man		Haley	Alex	Alex Haley	15.0	1921.0		1992.0	1.0	Ithaca	New York	USA	Adult fiction
				Woman		Walker	Margaret 	Margaret Walker	16.0	1915.0		1998.0	1.0	Birmingham	Alabama	USA	Adult fiction
				Woman		Larsen	Nella	Nella Larsen	17.0	1893.0		1964.0	2.0	Chicago	Illinois	USA	Adult fiction
				Man		Toomer	Jean	Jean Toomer	18.0	1894.0		1967.0	1.0	Washington D. C.		USA	Adult fiction
				Man		Johnson 	James Weldon	James Weldon Johnson	19.0	1871.0		1938.0	1.0	Jacksonville	Florida	USA	Adult fiction
				Man		McBride 	James	James McBride	20.0	1957.0			2.0	Brooklyn	New York	USA	Adult fiction
				Man		Gaines	Ernest J.	Ernest J. Gaines	21.0	1933.0		2019.0	8.0	Oscar	Louisiana	USA	Adult fiction
				Woman		Bennett	Brit	Brit Bennett	22.0	1990.0			2.0	Oceanside	California	USA	Adult fiction
				Man		Johnson	Charles	Charles Johnson	23.0	1948.0			3.0	Evanston	Illinois	USA	Adult fiction
				Man		Chesnutt	Charles W.	Charles W. Chesnutt	24.0	1858.0		1932.0	3.0	Cleveland	Ohio	USA	Adult fiction
				Man		Himes	Chester B.	Chester B. Himes	25.0	1909.0		1984.0	16.0	Jefferson City	Missouri	USA	Adult fiction
				Woman		Adichie	Chimamanda Ngozi	Chimamanda Ngozi Adichie	26.0	1977.0			3.0	Enugu		Nigeria	Adult fiction
				Man		Achebe 	Chinua 	Chinua Achebe 	27.0	1930.0		2013.0	4.0	Ogidi		Nigeria	Adult fiction
				Woman		Petry	Ann	Ann Petry	28.0	1911.0		1997.0	3.0	Old Saybrook	Connecticut	USA	Adult fiction
				Man		Fisher	Rudolph	Rudolph Fisher	29.0	1897.0		1934.0	2.0	Washington D. C.		USA	Adult fiction
				Woman		Smith	Zadie	Zadie Smith	30.0	1975.0			3.0	Willesden in the north-west London borough of Brent		UK	Adult fiction
				Woman		Harris	Zakiya	Zakiya Dalila Harris	31.0	1992.0			1.0	Connecticut	Connecticut	USA	Adult fiction
				Woman		Gyasi	Yaa	Yaa Gyasi	32.0	1989.0			2.0	Mampong		Ghana	Adult fiction
				Man		Soyinka 	Wole	Wole Soyinka	33.0	1934.0			3.0	Abeokuta		Nigeria	Adult fiction
				Man		Kelley	William Melvin	William Melvin Kelley	34.0	1937.0		2017.0	4.0	Staten Island	New York	USA	Adult fiction
				Man		DuBois	W. E. B	W. E. B DuBois	35.0	1868.0		1963.0	2.0	Great Barrington	Massachusetts	USA	Adult fiction
				Man		LaValle	Victor	Victor LaValle	36.0	1972.0			5.0	New York City	New York	USA	Adult fiction
				Woman		Bambara	Toni Cade	Toni Cade Bambara	37.0	1939.0		1995.0	1.0	Harlem	New York	USA	Adult fiction
				Woman		McMillan	Terry	Terry McMillan	38.0	1951.0			9.0	Port Huron	Michigan	USA	Adult fiction
				Woman		Jones	Tayari	Tayari Jones	39.0	1970.0			4.0	Atlanta	Georgia	USA	Adult fiction
				Man		Coates	Ta-Nehisi 	Ta-Nehisi Coates	40.0	1975.0			1.0	Baltimore	Maryland	USA	Adult fiction
				Woman		Williams	Sherley Anne 	Sherley Anne Williams	41.0	1944.0		1999.0	1.0	Bakersfield	California	USA	Adult fiction
				Woman		Hopkins	Pauline E.	Pauline E. Hopkins	42.0	1859.0		1930.0	2.0	Portland	Maine	USA	Adult fiction
				Man		Dunbar	Paul Laurence	Paul Laurence Dunbar	43.0	1872.0		1906.0	3.0	Dayton	Ohio	USA	Adult fiction
				Woman		Marshall	Paule	Paule Marshall	44.0	1929.0		2019.0	3.0	Brooklyn	New York	USA	Adult fiction
				Man		Hughes	Langston	Langston Hughes	45.0	1901.0		1967.0	1.0	Joplin	Missouri	USA	Adult fiction
				Woman		Hopkinson	Nalo	Nalo Hopkinson	46.0	1960.0			5.0	Kingston		Jamaica	Adult fiction
				Woman		Jemisin	N. K. 	N. K. Jemisin	47.0	1972.0			9.0	Iowa City	Iowa	USA	Adult fiction
				Man		Johnson	Mat	Mat Johnson	48.0	1970.0			5.0	Philadelphia	Pennsylvania	USA	Adult fiction
				Woman		Meriwether	Louise	Louise Meriwether	49.0	1923.0			2.0	Haverstraw	New York	USA	Adult fiction
				Man		Olden	Marc	Marc Olden	50.0	1933.0		2003.0	34.0	Baltimore	Maryland	USA	Adult fiction
				Man		Killens	John Oliver	John Oliver Killens	51.0	1916.0		1987.0	7.0	Macon	Georgia	USA	Adult fiction
				Woman		Greenidge	Kaitlyn	Kaitlyn Greenidge	52.0	1981.0			2.0	Boston	Massachusetts	USA	Adult fiction
				Man		Wideman	John Edgar	John Edgar Wideman	53.0	1941.0			7.0	Washington D. C.		USA	Adult fiction
				Man		Williams	John A. 	John A. Williams	54.0	1925.0		2015.0	8.0	Jackson	Mississippi	USA	Adult fiction
				Woman		Woodson	Jacqueline	Jacqueline Woodson	55.0	1963.0			5.0	Columbus	Ohio	USA	Adult fiction and Young adult
				Woman		Kincaid	Jamaica	Jamaica Kincaid	56.0	1949.0			5.0	St John's		Antigua	Adult fiction
				Man		Asim	Jabari 	Jabari Asim	57.0	1962.0			2.0	St. Louis	Missouri	USA	Adult fiction
				Man		Dumas	Henry	Henry Dumas	58.0	1934.0		1968.0	1.0	Sweet Home	Arkansas	USA	Adult fiction
				Woman		Brooks	Gwendolyn 	Gwendolyn Brooks	59.0	1917.0		2000.0	1.0	Topeka	Kansas	USA	Adult fiction
				Man		Schuyler 	George 	George Schuyler 	60.0	1895.0		1977.0	2.0	Providence	Rhode Island	USA	Adult fiction
				Man		Yerby	Frank	Frank Yerby	61.0	1916.0		1991.0	27.0	Augusta	Georgia	USA	Adult fiction
				Man		Dickey	Eric Jerome	Eric Jerome Dickey	62.0	1961.0		2021.0	13.0	Memphis	Tennessee	USA	Adult fiction
				Man		Jones	Edward P.	Edward P. Jones	63.0	1951.0			1.0	Washington D. C.		USA	Adult fiction
				Woman		Danticat	Edwidge	Edwidge Danticat	64.0	1969.0			4.0	Port-au-Prince		Haiti	Adult fiction
				Man		Harris	E. Lynn	E. Lynn Harris	65.0	1955.0		2009.0	7.0	Flint	Michigan	USA	Adult fiction
				Woman		West	Dorothy	Dorothy West	66.0	1907.0		1998.0	2.0	Boston	Massachusetts	USA	Adult fiction
				Man		Black 	Daniel	Daniel Black	67.0	1965.0			7.0	Kansas City	Kansas	USA	Adult fiction
				Man		Cullen	Countee	Countee Cullen	68.0	1903.0		1946.0	1.0	New York City	New York	USA	Adult fiction
				Man		Abani	Chris	Chris Abani	69.0	1966.0			4.0	Afikpo		Nigeria	Adult fiction
				Man		McKay 	Claude	Claude McKay	70.0	1889.0		1948.0	4.0	Clarendon Parish		Jamaica	Adult fiction
				Woman		McFadden	Bernice L.	Bernice L. McFadden	71.0	1965.0			10.0	Brooklyn	New York	USA	Adult fiction
				Woman		Neely	Barbara	Barbara Neely	72.0	1941.0		2020.0	4.0	Pittsburgh	Pennsylvania	USA	Adult fiction
				Woman		Campbell	Bebe Moore	Bebe Moore Campbell	73.0	1950.0		2006.0	5.0	Philadelphia	Pennsylvania	USA	Adult fiction
				Woman		Locke	Attica	Attica Locke	74.0	1974.0			4.0	Houston	Texas	USA	Adult fiction
				Woman		Mathis	Ayana 	Ayana Mathis	75.0	1973.0			1.0	Philadelphia	Pennsylvania	USA	Adult fiction
				Man		Bontemps	Arna	Arna Bontemps	76.0	1902.0		1973.0	3.0	Alexandria	Louisiana	USA	Adult fiction
				Woman		Solomon	Asali	Asali Solomon	77.0				2.0				
				Man		Konadu	Asare 	Asare Konadu	78.0	1932.0		1994.0	3.0	Asamang		Ghana	Adult fiction
				Woman		Shockley	Ann	Ann Allen Shockley	79.0	1927.0			3.0	Louisville	Kentucky	USA	Adult fiction
